Date;Open;High;Low;Last;Volume;Status
04.01.2023;82,31;82,72;77,72;77,84;319305;0
05.01.2023;78,16;79,97;77,61;78,69;259584;0
06.01.2023;78,8;80,59;78,05;78,57;215424;0
09.01.2023;78,42;81,37;78,42;79,65;245120;0
10.01.2023;79,54;80,89;78,81;80,1;244353;0
11.01.2023;79,52;83;79,31;82,67;273786;0
12.01.2023;82,88;84,62;82,37;84,03;264068;0
13.01.2023;83,91;85,5;83,5;85,28;217396;0
16.01.2023;85,36;85,59;83,83;84,46;125963;0
17.01.2023;84,2;86,82;84,04;85,92;238298;0
18.01.2023;86,45;87,85;84,36;84,98;288148;0
19.01.2023;84,34;86,85;83,76;86,16;250959;0
20.01.2023;86,42;87,79;85,58;87,63;212917;0
23.01.2023;87,7;89,09;86,92;88,19;192408;0
24.01.2023;88,07;88,71;85,8;86,13;207745;0
25.01.2023;86,28;87;85,41;86,12;159465;0
26.01.2023;86,35;88,01;85,74;87,47;139104;0
27.01.2023;87,65;88,95;85,69;86,66;107084;0
30.01.2023;86,88;87,48;84,66;84,9;65548;0
31.01.2023;85,18;85,25;83,73;84,49;11891;0
01.02.2023;85,56;86,21;82,37;82,84;348662;0
02.02.2023;83,34;83,61;81,25;82,17;287085;0
03.02.2023;82,27;84,2;79,62;79,94;330324;0
06.02.2023;79,61;81,43;79,1;80,99;325206;0
07.02.2023;81,26;84,13;81,19;83,69;290979;0
08.02.2023;84,11;85,15;83,51;85,09;254144;0
09.02.2023;84,96;85,5;83,05;84,5;260730;0
10.02.2023;84,22;86,9;83,93;86,39;297344;0
13.02.2023;86,51;86,95;85,1;86,61;207621;0
14.02.2023;85,83;86,42;84,13;85,58;231627;0
15.02.2023;85,2;85,85;83,88;85,38;245984;0
16.02.2023;85,27;86,21;84,6;85,14;197021;0
17.02.2023;84,6;84,87;81,8;83;303660;0
20.02.2023;83,15;84,3;82,73;84,07;143850;0
21.02.2023;83,86;84,2;82,56;83,05;231628;0
22.02.2023;82,78;83,25;80,43;80,6;253144;0
23.02.2023;80,48;82,77;80,4;82,21;157669;0
24.02.2023;82,49;83,39;81,07;83,16;107150;0
27.02.2023;83,19;83,6;81,73;82,45;58845;0
28.02.2023;82,3;84,15;82,19;83,89;12300;0
01.03.2023;83,05;84,49;82,61;84,31;242656;0
02.03.2023;84,31;85,1;83,83;84,75;214215;0
03.03.2023;84,61;86;82,36;85,83;312895;0
06.03.2023;85,83;86,35;84,34;86,18;244340;0
07.03.2023;86,23;86,75;82,83;83,29;295188;0
08.03.2023;83,03;83,59;82,06;82,66;297087;0
09.03.2023;82,55;84;81,42;81,59;282564;0
10.03.2023;81,47;83,11;80,73;82,78;369281;0
13.03.2023;82,6;83,48;78,34;80,77;467281;0
14.03.2023;80,54;80,92;76,89;77,45;357862;0
15.03.2023;77,82;78,73;71,67;73,69;547561;0
16.03.2023;74,3;75,54;71,86;74,7;332586;0
17.03.2023;74,7;75,92;71,4;72,97;427490;0
20.03.2023;73,01;73,87;70,12;73,79;282569;0
21.03.2023;73,64;75,42;72,82;75,32;226837;0
